year,growthRate,interestRate
1900,0.045,0.027
1901,0.031,0.027
1902,0.038,0.028
1903,0.029,0.028
1904,0.033,0.028
1905,0.041,0.029
1906,0.044,0.029
1907,0.012,0.030
1908,-0.021,0.030
1909,0.037,0.030
1910,0.028,0.031
1911,0.032,0.031
1912,0.027,0.031
1913,0.025,0.032
1914,-0.050,0.032
1915,-0.120,0.033
1916,-0.080,0.033
1917,-0.060,0.034
1918,-0.040,0.034
1919,0.090,0.035
1920,-0.150,0.035
1921,0.030,0.035
1922,0.040,0.036
1923,0.020,0.036
1924,0.030,0.036
1925,0.010,0.037
1926,0.020,0.037
1927,0.030,0.038
1928,0.040,0.038
1929,-0.080,0.045
1930,-0.120,0.044
1931,-0.050,0.043
1932,0.020,0.042
1933,0.040,0.041
1934,0.050,0.040
1935,0.060,0.039
1936,0.070,0.039
1937,-0.030,0.040
1938,-0.020,0.040
1939,-0.050,0.041
1940,-0.100,0.041
1941,-0.080,0.041
1942,-0.050,0.041
1943,-0.020,0.041
1944,0.010,0.041
1945,0.050,0.041
1946,0.060,0.042
1947,0.040,0.042
1948,0.030,0.042
1949,0.020,0.043
1950,0.040,0.043
1951,0.030,0.043
1952,0.020,0.044
1953,0.030,0.044
1954,0.040,0.044
1955,0.020,0.045
1956,0.010,0.045
1957,0.070,0.046
1958,0.060,0.046
1959,0.080,0.047
1960,0.050,0.047
1961,0.040,0.048
1962,0.030,0.048
1963,0.060,0.049
1964,0.070,0.049
1965,0.040,0.050
1966,-0.020,0.050
1967,0.030,0.051
1968,0.040,0.051
1969,-0.010,0.052
1970,-0.050,0.053
1971,0.080,0.054
1972,0.120,0.055
1973,-0.200,0.056
1974,-0.300,0.057
1975,-0.150,0.058
1976,0.050,0.059
1977,0.020,0.060
1978,0.040,0.061
1979,0.020,0.062
1980,-0.050,0.063
1981,-0.020,0.064
1982,0.050,0.065
1983,0.120,0.066
1984,0.040,0.067
1985,0.060,0.068
1986,0.080,0.069
1987,0.050,0.070
1988,0.020,0.071
1989,0.010,0.072
1990,-0.150,0.073
1991,-0.050,0.074
1992,0.080,0.075
1993,0.120,0.076
1994,0.020,0.077
1995,0.040,0.078
1996,0.080,0.079
1997,0.120,0.080
1998,0.050,0.081
1999,0.060,0.082
2000,-0.100,0.083
2001,-0.150,0.084
2002,-0.250,0.085
2003,0.150,0.086
2004,0.080,0.087
2005,0.060,0.088
2006,0.120,0.089
2007,0.050,0.090
2008,-0.300,0.091
2009,0.250,0.092
2010,0.120,0.093
2011,-0.050,0.094
2012,0.080,0.095
2013,0.150,0.096
2014,0.050,0.097
2015,0.020,0.098
2016,0.040,0.099
2017,0.080,0.010
2018,-0.020,0.012
2019,0.060,0.015
2020,-0.150,0.005
2021,0.180,0.010
2022,-0.080,0.030
2023,0.120,0.040
2024,0.080,0.045
2025,0.060,0.047
